symbol,n_bars,n_trades,initial_capital,final_equity,total_return,cagr,sharpe,sortino,max_drawdown_pct,max_dd_duration_bars,win_rate,profit_factor,avg_trade,avg_win,avg_loss,best_trade,worst_trade,expectancy,avg_bars_in_trade,pct_time_in_market
CT_F,1005,22,10000.0,12925.797837454267,0.2925797837454267,0.06646723435109902,1.5066226436894712,2.6156492261470285,-4.0383921822910525,356,0.6363636363636364,6.514699975161286,135.00158774417085,250.614417236402,-67.32086386723367,1489.2134939509463,-106.83837530707258,135.00158774417085,17.727272727272727,0.3880597014925373
ES_F,1006,6,10000.0,10504.145448954388,0.05041454489543885,0.01239688060929156,0.7939206331347325,1.216125767351978,-2.639735124763593,375,0.3333333333333333,3.5128129123253737,86.49485745489848,362.7491533018281,-51.6322904685663,368.4322245889818,-75.44476534502262,86.49485745489847,19.833333333333332,0.11829025844930417
EURAUD_X,1039,17,10000.0,11932.567105660866,0.19325671056608662,0.04378513116016536,0.9770112425487257,1.6855698849090799,-4.075885488645889,478,0.5882352941176471,4.6542597643867625,118.35973527056304,256.27374119247435,-78.66027318931027,946.2739310408423,-123.37124871035188,118.35973527056305,26.352941176470587,0.43118383060635224
EURCAD_X,1039,15,10000.0,9933.247272043864,-0.006675272795613637,-0.0016231358819102093,-0.05790593688064669,-0.08334374304828965,-5.427512095223349,489,0.5333333333333333,1.0041064160873547,0.13959607280701594,64.00166351768104,-72.84562386419188,304.6328229603285,-114.84255835121243,0.13959607280700936,17.066666666666666,0.24639076034648702
EURCHF_X,1039,10,10000.0,9654.869197068743,-0.03451308029312568,-0.008482516180557176,-0.49976931046379075,-0.706049674712826,-5.255964228253119,698,0.4,0.41965548899689664,-29.15118878390112,52.69911299240089,-83.71805663476913,141.64857335922326,-108.15292387390816,-29.15118878390112,13.8,0.13282001924927817
EURGBP_X,1039,14,10000.0,9643.337644660518,-0.0356662355339482,-0.008769874183659376,-0.35820298863313776,-0.5268475895830236,-5.1411797835406645,945,0.35714285714285715,0.5812729755395888,-19.709559249513386,76.60975707418335,-73.22029054045602,173.91927409788116,-112.11069036158501,-19.709559249513386,19.928571428571427,0.2685274302213667
EURJPY_X,1039,13,10000.0,10794.161309362471,0.0794161309362471,0.018707882864809955,0.7997440820801561,1.2791052680276302,-2.3125828305743577,213,0.6153846153846154,3.337983530908878,63.5368915605345,147.4083453109744,-70.65743444016934,356.4529910791157,-105.62018418628053,63.5368915605345,24.076923076923077,0.3012512030798845
EURNZD_X,1039,15,10000.0,10431.377229790387,0.0431377229790387,0.01029592352789388,0.37050984289808253,0.5962388950667494,-4.884262983903454,485,0.5333333333333333,1.877573340203907,32.570093765127666,130.6573271567027,-79.52960153952952,350.00225764494223,-107.81158476518434,32.57009376512766,20.933333333333334,0.30221366698748797
EURUSD_X,1039,12,10000.0,9533.595083167105,-0.04664049168328947,-0.0115176893395591,-0.5934087125867418,-0.842667925435799,-5.976920710281412,959,0.16666666666666666,0.4117548809391927,-34.956082301390985,146.80959048932135,-71.30921685953345,158.0509773592825,-106.94480230977958,-34.95608230139099,18.666666666666668,0.21559191530317612
GBPAUD_X,1039,15,10000.0,10183.663145024251,0.01836631450242512,0.004423926276589718,0.16804743120065127,0.2559557099032121,-7.364380351512705,815,0.4666666666666667,1.3314823156227473,16.00032805008772,137.720041411329,-90.5044211409984,557.9911574093493,-106.24171548204491,16.00032805008771,19.0,0.2743022136669875
GBPCAD_X,1039,18,10000.0,9930.282990204983,-0.006971700979501657,-0.001695405679465689,-0.050249552242764076,-0.07423525874164442,-4.636974964160645,424,0.3333333333333333,1.0031164709424438,0.1438600481332622,138.9151894481154,-69.2418046518578,314.647162455783,-110.07744394349285,0.1438600481332557,16.444444444444443,0.2848893166506256
GBPCHF_X,1039,13,10000.0,10108.562714722917,0.010856271472291701,0.002622332058010768,0.10768678386795412,0.1604450470471022,-6.172228157151758,647,0.5384615384615384,1.2861112191160555,12.26222553568173,102.36659339251572,-92.85953696395792,346.9390900014274,-108.6216515922299,12.26222553568173,16.615384615384617,0.2078922040423484
